iter	RMSE
0	2.784307969
1	2.586313635
2	2.404542992
3	2.250659696
4	2.106709405
5	1.97023511
6	1.844704599
7	1.734234207
8	1.635293873
9	1.54442273
10	1.459027468
11	1.381605048
12	1.311718739
13	1.246543456
14	1.185508253
15	1.137862519
16	1.087654178
17	1.032899469
18	0.9865498352
19	0.9487245199
20	0.9097015991
21	0.8737958449
22	0.8359871693
23	0.8056603931
24	0.7679445292
25	0.7434326383
26	0.7196194765
27	0.6917520215
28	0.6649614276
29	0.6384749897
30	0.6170221016
31	0.5980695563
32	0.5772937376
33	0.5569301691
34	0.5437268462
35	0.5284712662
36	0.5130282212
37	0.4945244151
38	0.4823700299
39	0.4733000788
40	0.4617025964
41	0.4495786052
42	0.438264087
43	0.4309398793
44	0.4224367929
45	0.4148759963
46	0.4036387494
47	0.3967161883
48	0.3904591102
49	0.3839787079
50	0.3786850345
51	0.3688341791
52	0.3649695327
53	0.3586186851
54	0.3500780744
55	0.3456493063
56	0.3412431547
57	0.3369282895
58	0.3335970919
59	0.3270813744
60	0.3215764932
61	0.316020689
62	0.3115768247
63	0.3057536717
64	0.3036350149
65	0.3001570961
66	0.2980671935
67	0.2941094811
68	0.2895370362
69	0.2854263144
70	0.2806073375
71	0.2753009312
72	0.2710660456
73	0.2678884796
74	0.2612316287
75	0.2580133152
76	0.252223347
77	0.2477491503
78	0.2434992194
79	0.239225739
80	0.2362080473
81	0.2324550754
82	0.2278823711
83	0.22485341
84	0.2233090796
85	0.2212182447
86	0.2197544338
87	0.2146791862
88	0.2117328623
89	0.2077382089
90	0.2061775412
91	0.2049507824
92	0.2026140708
93	0.2001877054
94	0.1960723277
95	0.1947151668
96	0.1932744529
97	0.190525438
98	0.1869025531
99	0.1829749974
100	0.1817752903
101	0.1801669628
102	0.1794727514
103	0.1783341306
104	0.1773750744
105	0.1757647417
106	0.1746404445
107	0.172421991
108	0.1691038311
109	0.1679358095
110	0.1666038922
111	0.1636021618
112	0.1618609297
113	0.1601923578
114	0.1578559459
115	0.1564075355
116	0.1547042709
117	0.1512886839
118	0.1485381501
119	0.1456913627
120	0.1435284953
121	0.1424132014
122	0.1416674096
123	0.1399242937
124	0.1377010129
125	0.1360097045
126	0.1356824208
127	0.1352330602
128	0.1329789923
129	0.1303502892
130	0.1274814793
131	0.1260462711
132	0.1250759329
133	0.1233876093
134	0.1219496258
135	0.11937553
136	0.1184454454
137	0.117559374
138	0.1160775718
139	0.114201254
140	0.1125020954
141	0.1112821866
142	0.1095790189
143	0.1085754232
144	0.107283416
145	0.1055841399
146	0.1048011428
147	0.1039403128
148	0.1019816555
149	0.1014740278
150	0.1009471374
151	0.100567507
152	0.09952144866
153	0.09894263406
154	0.09737271612
155	0.09678502224
156	0.09561293844
157	0.09397326267
158	0.09312151833
159	0.09279231909
160	0.09122259282
161	0.09033792122
162	0.08897375673
163	0.08859886574
164	0.0867122719
165	0.08568667245
166	0.08467129093
167	0.08396984204
168	0.08329993631
169	0.0815667063
170	0.08102741575
171	0.08001158166
172	0.07940486337
173	0.07786332286
174	0.07658482298
175	0.07570093303
176	0.07508009183
177	0.07454411193
178	0.07331096995
179	0.07195435789
180	0.07104028874
181	0.0705676154
182	0.06937404449
183	0.069066708
184	0.06819561383
185	0.06694873033
186	0.06677220678
187	0.06649185875
188	0.06548365999
189	0.06503495397
190	0.06488693228
191	0.06474501045
192	0.06376989031
193	0.06345307744
194	0.06290048731
195	0.06203071354
196	0.06095329265
197	0.06034295686
198	0.05953580088
199	0.05845091153
