iter	Passed	Remaining
0	1	313
1	2	281
2	4	284
3	5	284
4	7	281
5	8	282
6	10	280
7	11	281
8	13	282
9	14	278
10	16	279
11	17	281
12	19	281
13	21	279
14	22	276
15	24	278
16	25	276
17	27	275
18	28	272
19	29	269
20	31	268
21	32	264
22	34	261
23	35	258
24	36	257
25	38	256
26	39	254
27	40	251
28	42	249
29	44	249
30	45	248
31	47	247
32	48	245
33	50	244
34	51	244
35	53	242
36	54	241
37	56	239
38	57	237
39	58	234
40	60	232
41	61	230
42	62	229
43	64	227
44	65	225
45	67	224
46	68	222
47	70	221
48	71	221
49	73	219
50	74	217
51	75	215
52	77	213
53	78	211
54	79	210
55	81	208
56	82	206
57	83	205
58	85	203
59	87	203
60	88	201
61	89	199
62	91	198
63	92	196
64	94	195
65	95	193
66	97	192
67	98	190
68	99	189
69	101	187
70	102	186
71	103	184
72	104	182
73	106	180
74	107	178
75	108	177
76	110	176
77	111	174
78	112	172
79	113	170
80	115	169
81	116	168
82	117	166
83	119	165
84	121	163
85	122	162
86	123	160
87	125	159
88	126	157
89	127	155
90	128	154
91	130	153
92	132	152
93	133	150
94	134	148
95	135	147
96	137	145
97	138	144
98	140	142
99	141	141
100	142	140
101	144	138
102	145	137
103	147	135
104	148	134
105	149	132
106	151	131
107	152	129
108	153	128
109	155	127
110	156	125
111	157	124
112	159	122
113	160	121
114	162	119
115	163	118
116	164	116
117	166	115
118	167	114
119	169	112
120	170	111
121	172	110
122	174	109
123	175	107
124	176	106
125	178	104
126	179	103
127	180	101
128	182	100
129	183	98
130	185	97
131	186	96
132	188	94
133	189	93
134	190	91
135	191	90
136	193	88
137	195	87
138	196	86
139	198	84
140	199	83
141	200	82
142	202	80
143	203	79
144	205	77
145	206	76
146	207	74
147	209	73
148	211	72
149	212	70
150	214	69
151	215	67
152	216	66
153	218	65
154	219	63
155	220	62
156	222	60
157	223	59
158	225	58
159	226	56
160	228	55
161	229	53
162	230	52
163	232	50
164	233	49
165	234	48
166	236	46
167	237	45
168	238	43
169	239	42
170	241	40
171	242	39
172	244	38
173	245	36
174	246	35
175	248	33
176	249	32
177	250	30
178	252	29
179	253	28
180	254	26
181	256	25
182	257	23
183	259	22
184	260	21
185	262	19
186	263	18
187	264	16
188	266	15
189	267	14
190	268	12
191	270	11
192	271	9
193	272	8
194	274	7
195	275	5
196	277	4
197	278	2
198	280	1
199	281	0
