serial,I_NH3,I_NO3,I_BOD5,I_COD,I_Turb,I_TSS,I_TDS,I_PH,O_CL2,O_NH3,O_NO3,O_BOD5,O_COD,O_Turb,O_TSS,O_TDS,O_PH,source
172,54.0,1.9,275,605,65.0,183,649,7.85,0.26,0.06,1.0,1.8,12,0.25,1,634,8.14,train_val
514,65.8,1.5,383,752,66.0,157,694,7.4,0.15,0.05,1.2,2.1,16,0.16,1,466,7.73,train_val
228,99.0,2.1,361,685,700.0,1113,797,8.45,0.22,0.37,1.3,4.2,18,0.31,1,665,8.26,train_val
213,86.0,2.2,351,685,441.0,1012,808,7.62,0.23,0.25,1.1,3.8,18,0.37,1,661,7.76,train_val
352,47.0,2.4,516,1033,225.0,415,627,7.53,0.28,0.14,1.9,5.1,18,0.35,1,554,7.79,train_val
135,76.0,2.1,255,415,158.0,343,926,7.77,0.32,0.15,1.0,1.2,13,0.43,1,524,8.35,train_val
220,109.0,1.9,355,692,535.0,884,899,7.82,0.2,0.36,1.5,2.3,12,0.52,1,672,8.23,train_val
147,58.0,1.8,321,311,215.0,457,575,8.03,0.28,0.1,0.7,1.7,10,0.56,1,638,8.16,train_val
330,69.0,2.5,720,1176,645.0,799,1074,7.87,0.4,0.83,5.8,3.1,18,0.39,1,540,8.29,train_val
218,93.0,2.8,355,692,220.0,593,869,8.27,0.28,0.33,1.5,2.3,12,0.31,1,664,8.05,train_val
259,85.0,2.1,355,692,68.0,190,875,7.86,0.45,0.14,1.0,4.2,15,1.5,1,679,8.22,train_val
133,49.0,1.9,338,488,540.0,850,629,7.32,0.28,0.57,1.0,1.4,13,0.32,1,511,8.22,train_val
348,57.0,1.8,422,812,250.0,520,638,7.79,0.2,0.11,1.8,4.1,16,0.22,1,549,8.23,train_val
206,57.0,2.1,311,635,90.0,285,838,8.25,0.3,0.36,1.7,4.1,16,0.27,1,683,8.06,train_val
304,70.0,2.1,233,510,32.0,663,808,7.83,0.23,0.25,1.0,4.2,14,0.34,1,515,8.05,train_val
233,67.0,2.1,402,791,61.0,211,814,8.16,0.26,0.28,1.4,3.8,16,0.65,1,726,8.4,train_val
200,75.0,1.8,295,605,226.0,582,856,8.11,0.32,0.27,1.8,2.8,14,0.48,1,688,8.02,train_val
509,57.0,1.7,410,833,37.0,104,574,7.66,0.12,0.07,0.6,3.2,12,0.16,1,469,8.2,train_val
489,78.87,2.2,380,805,592.0,812,838,7.58,0.12,0.09,1.5,2.1,15,0.17,1,379,7.5,train_val
62,74.5,2.3,288,496,214.0,241,741,7.41,0.48,0.11,2.8,2.3,10,0.14,1,726,8.16,train_val
388,58.0,3.4,397,794,874.0,875,479,7.38,0.18,0.12,1.7,1.9,17,0.49,1,454,7.89,train_val
43,63.0,1.5,341,560,107.0,286,768,8.25,0.25,0.25,2.6,2.1,14,1.2,2,635,7.63,train_val
467,18.25,2.5,310,620,4.21,23,323,7.34,0.18,0.11,0.8,1.7,19,0.17,1,371,7.51,train_val
448,30.0,2.5,355,722,106.0,185,380,8.21,0.22,0.1,2.6,2.2,18,0.24,1,426,7.77,train_val
515,72.55,2.4,383,752,67.0,135,780,7.54,0.11,0.11,1.3,2.1,16,0.2,1,488,7.8,train_val
157,73.0,1.9,311,631,115.0,296,791,8.45,0.31,0.52,1.1,3.3,16,0.53,1,639,8.29,train_val
69,36.0,1.4,301,522,111.0,214,962,7.81,0.31,0.44,2.4,2.1,13,0.59,2,879,7.36,train_val
251,97.0,2.3,311,620,49.0,165,2074,7.84,0.25,0.35,2.1,2.8,16,0.43,1,700,8.04,train_val
416,40.0,1.8,317,775,229.0,447,403,7.73,0.11,0.21,1.3,1.7,16,0.34,1,398,7.84,train_val
516,70.26,2.2,383,752,79.0,134,706,7.49,0.13,0.05,1.1,2.1,16,0.22,1,509,7.78,train_val
418,50.0,3.1,317,775,380.0,645,429,7.55,0.13,0.23,1.1,1.7,16,0.53,1,399,7.82,train_val
480,80.0,2.3,290,615,110.0,269,616,7.53,0.12,0.11,4.1,2.7,18,0.11,1,335,7.16,train_val
333,82.0,2.8,580,960,302.0,556,745,8.0,0.25,0.16,1.9,2.5,16,0.3,1,526,8.21,train_val
346,65.0,2.2,422,812,262.0,432,708,7.84,0.1,0.42,1.1,4.1,16,0.27,1,539,8.12,train_val
486,77.06,1.8,382,805,277.0,522,650,7.6,0.13,0.1,0.8,2.1,15,0.13,1,352,7.45,train_val
102,68.0,1.3,365,519,202.0,324,506,7.75,0.27,0.17,1.9,1.9,14,0.25,1,599,8.14,train_val
27,28.0,1.1,187,366,98.0,127,813,8.41,0.24,0.25,4.5,1.8,8,0.69,2,745,7.65,train_val
265,78.0,2.2,295,615,82.0,328,818,7.93,0.25,0.36,1.5,2.8,14,0.54,1,631,8.28,train_val
18,47.0,0.4,203,391,127.0,241,784,7.41,0.23,0.7,1.7,2.3,10,0.68,2,765,7.21,train_val
336,98.0,1.9,580,960,387.0,678,759,8.15,0.32,0.23,1.9,2.5,16,0.2,1,510,8.18,train_val
180,61.0,2.5,281,592,156.0,326,819,8.05,0.28,0.02,1.9,3.8,10,0.86,1,619,7.89,train_val
186,67.0,1.8,273,615,72.0,192,807,8.08,0.25,0.19,2.9,2.8,12,1.41,1,574,7.89,train_val
284,35.0,2.6,304,511,226.0,433,580,7.73,0.31,0.3,2.3,4.1,18,0.35,1,557,8.05,train_val
237,99.0,2.2,402,791,57.0,257,966,7.96,0.27,0.54,2.3,3.8,16,0.81,1,724,8.27,train_val
17,52.0,0.6,203,391,132.0,196,739,6.84,0.29,0.65,1.5,2.3,10,0.58,1,756,7.23,train_val
350,55.0,2.1,422,812,254.0,355,645,7.54,0.3,0.18,2.4,4.1,16,0.27,1,549,7.69,train_val
226,77.0,2.1,361,685,185.0,700,897,8.01,0.46,1.7,1.1,4.2,18,0.46,1,672,8.25,train_val
334,98.0,2.5,580,960,1042.0,919,653,7.98,0.2,0.15,2.3,2.5,16,0.19,1,527,8.23,train_val
435,24.0,1.9,345,820,64.0,120,356,7.79,0.22,0.15,0.9,2.3,19,0.45,1,409,7.89,train_val
67,69.0,1.1,301,522,96.0,104,569,6.96,0.46,0.68,2.6,2.5,11,0.63,1,547,7.64,train_val
391,64.0,3.2,397,794,317.0,357,641,7.01,0.1,0.18,1.2,1.9,17,0.27,1,432,7.81,train_val
331,91.0,2.2,580,960,504.0,794,762,7.91,0.48,0.38,3.4,2.5,16,0.21,1,528,8.2,train_val
236,98.0,2.5,402,791,172.0,448,1015,7.97,0.23,0.81,1.9,3.8,16,0.43,1,716,8.26,train_val
359,51.0,2.1,315,642,395.0,551,646,7.26,0.24,0.22,1.2,3.2,14,0.46,1,569,7.75,train_val
454,22.1,3.2,227,510,61.0,138,334,7.6,0.18,0.13,2.6,1.8,16,0.52,1,409,7.83,train_val
384,46.0,2.8,335,680,327.0,547,467,7.45,0.22,0.07,1.4,1.5,19,0.51,1,445,7.86,train_val
